x,y,z
594.83471695,22.93499947,0.24560796
595.81319061,22.93499947,0.24376819
595.81319061,22.93499947,0.24376819
596.88951126,22.93499947,0.24284832
596.88951126,22.93499947,0.24284832
597.86798492,22.93499947,0.24192843
597.86798492,22.93499947,0.24192843
598.84645858,22.93499947,0.23824891
598.84645858,22.93499947,0.23824891
599.82493225,22.93499947,0.23272964
599.82493225,22.93499947,0.23272964
600.85232940,22.93499947,0.23088986
600.85232940,22.93499947,0.23088986
601.87972656,22.93499947,0.23042995
601.87972656,22.93499947,0.23042995
602.90712371,22.93499947,0.22859016
602.90712371,22.93499947,0.22859016
603.88559738,22.93499947,0.22629046
603.88559738,22.93499947,0.22629046
604.86407104,22.93499947,0.22399078
604.86407104,22.93499947,0.22399078
605.89146820,22.93499947,0.22261095
605.89146820,22.93499947,0.22261095
606.91886535,22.93499947,0.22215101
606.91886535,22.93499947,0.22215101
607.89733902,22.93499947,0.22077121
607.89733902,22.93499947,0.22077121
608.92473617,22.93499947,0.21663173
608.92473617,22.93499947,0.21663173
609.90320984,22.93499947,0.21433204
609.90320984,22.93499947,0.21433204
610.93060699,22.93499947,0.21341215
610.93060699,22.93499947,0.21341215
611.95800415,22.93499947,0.21249227
611.95800415,22.93499947,0.21249227
612.98540130,22.93499947,0.20973264
613.96387497,22.93499947,0.20513324
613.96387497,22.93499947,0.20513324
613.96387497,22.93499947,0.20513324
614.94234863,22.93499947,0.20007390
614.94234863,22.93499947,0.20007390
615.96974578,22.93499947,0.19915402
615.96974578,22.93499947,0.19915402
616.89929596,22.93499947,0.19823413
616.89929596,22.88462257,0.19823413
617.33960930,22.88462257,0.19777419
617.33960930,22.78386688,0.19777419
617.77992263,22.78386688,0.19639438
617.77992263,22.58235550,0.19639438
618.22023597,22.58235550,0.19501457
618.22023597,22.28008842,0.19501457
618.61162582,22.28008842,0.19271487
618.61162582,21.82668686,0.19271487
