x,y,z,temperature,extrusion
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,231.2,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
12818.0,7266.0,2840.0,230.4,-34.0
